Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
14.1,43.1582,43.9357,43.3652,44.9069,42.3284,42.8937,42.8091,42.4891
14.2,43.1053,43.9093,43.3089,45.0858,42.3678,42.7883,42.7498,42.5176
14.3,43.1208,43.6918,43.2668,45.187,42.3572,42.7084,42.7356,42.5058
14.4,43.1131,43.5956,43.2979,45.3283,42.3471,42.7079,42.7092,42.4139
14.5,42.9598,43.5174,43.3755,45.3274,42.3268,42.7315,42.6073,42.3432
14.6,42.9703,43.4713,43.4299,45.4566,42.3371,42.5466,42.4765,42.2333
14.7,42.9355,43.3762,43.5159,45.6054,42.363,42.3891,42.3851,42.1423
14.8,42.9418,43.3481,43.4851,45.6912,42.3638,42.2728,42.2719,42.0339
14.9,42.9416,43.1176,43.5454,45.8108,42.2419,42.1812,42.3026,42.0252
15.0,42.9196,43.032,43.7212,45.8416,42.2491,42.1074,42.2756,42.0154
15.1,42.9222,42.9859,43.5439,45.8402,42.2685,42.0491,42.2221,41.9477
15.2,42.8981,42.9782,43.6391,45.5486,42.3257,41.9615,42.163,41.8716
15.3,42.8789,42.974,43.8007,45.6772,42.293,41.9438,42.1427,41.8857
15.4,42.8356,42.9148,43.8547,45.8223,42.3471,41.9077,42.0991,41.8412
15.5,42.7852,42.9167,43.7856,45.9548,42.3671,41.8668,42.0434,41.8123
15.6,42.7734,42.8992,43.8634,46.0698,42.4913,41.8239,41.9908,41.83
15.7,42.6148,42.8417,44.0543,46.2234,42.5384,41.7646,41.9567,41.744
15.8,42.5698,42.6502,44.0483,46.2554,42.5291,41.7669,41.9222,41.6931
15.9,42.5533,42.6603,44.1784,46.3136,42.6613,41.5977,41.7822,41.7325
16.0,42.5268,42.4498,44.3331,46.3036,42.6264,41.4951,41.7322,41.7151
16.1,42.5312,42.3407,44.3686,46.1397,42.6529,41.4422,41.6757,41.5388
16.2,42.534,42.2262,44.4337,46.0208,42.6872,41.392,41.6614,41.4904
16.3,42.5315,42.201,44.5022,46.0576,42.7422,41.3896,41.6597,41.4778
16.4,42.5331,42.1288,44.5412,46.1587,42.6983,41.3427,41.622,41.4525
16.5,42.5195,42.0172,44.6832,46.1988,42.6481,41.2972,41.6127,41.4538
16.6,42.4302,42.0001,44.7525,46.0866,42.4832,41.2457,41.5835,41.331
16.7,42.424,41.9357,44.6284,46.2422,42.3873,41.2566,41.5298,41.1796
16.8,42.3906,41.9546,44.6018,46.1694,42.4082,41.2488,41.4795,41.1671
16.9,42.3887,41.969,44.6305,46.1389,42.4602,41.2376,41.3701,41.1531
17.0,42.3905,41.9497,44.5394,45.6915,42.4211,41.1895,41.3525,41.1232
17.1,42.3506,41.9396,44.426,45.6809,42.4231,41.0738,41.3664,41.1114
17.2,42.3399,41.8342,44.3401,45.4063,42.4125,41.0787,41.3371,41.1445
17.3,42.2068,41.8245,44.2461,45.286,42.4221,41.0215,41.3547,41.087
