Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
13.5,43.7982,43.6302,42.2841,44.4392,42.3773,42.4737,42.2926,42.0289
13.6,43.9242,43.6573,42.3912,44.5003,42.3584,42.6355,42.3584,42.0514
13.7,43.92,43.8339,42.4249,44.6958,42.4461,42.6615,42.5398,41.9756
13.8,44.0886,43.9396,42.4657,44.8287,42.4415,42.8488,42.5862,41.9783
13.9,44.1725,43.9858,42.4991,44.9101,42.5575,42.9652,42.6138,42.0565
14.0,44.2437,44.1062,42.5601,44.9839,42.5546,42.9621,42.5685,42.213
14.1,44.0796,44.1398,42.652,45.083,42.4701,42.7807,42.6054,42.1586
14.2,44.0872,44.0671,42.779,45.2846,42.5872,42.7044,42.5039,42.0145
14.3,44.0598,43.9355,42.8753,45.274,42.5823,42.6365,42.4956,42.0341
14.4,44.0318,43.7285,43.0433,45.414,42.6832,42.5305,42.5005,41.9662
14.5,44.0283,43.7552,43.1578,45.3691,42.5827,42.5228,42.5061,41.992
14.6,43.987,43.7647,43.1804,45.5638,42.6649,42.5131,42.4825,41.9726
14.7,43.8833,43.7356,43.2948,45.4563,42.6911,42.4671,42.4881,41.8118
14.8,43.8597,43.7104,43.3487,45.54,42.7335,42.47,42.2795,41.696
14.9,43.4803,43.5984,43.4511,45.5552,42.6676,42.2626,42.0855,41.6078
15.0,43.3228,43.6121,43.5142,45.6058,42.7561,42.2317,42.0807,41.6197
15.1,43.2547,43.5895,43.6362,45.689,42.6089,42.1927,42.0588,41.6064
15.2,43.216,43.5582,43.7044,45.7258,42.6285,42.115,42.07,41.5173
15.3,43.1838,43.4829,43.7907,45.7674,42.7075,42.0704,42.0089,41.5128
15.4,43.0428,43.3625,43.8181,45.8293,42.7203,42.031,41.997,41.4432
15.5,43.0007,43.2954,43.9578,45.837,42.713,41.9801,41.9851,41.448
15.6,42.8752,43.25,43.9824,45.5378,42.7988,41.9366,41.961,41.3255
15.7,42.8661,43.2144,44.0859,45.4328,42.8541,41.9391,41.9072,41.337
15.8,42.8553,43.2191,44.2277,45.5257,42.8192,41.8452,41.8428,41.3022
15.9,42.7324,43.1744,44.2933,45.6579,42.7442,41.7761,41.8291,41.3141
16.0,42.7078,43.1683,44.2593,45.5864,42.8484,41.7677,41.809,41.325
16.1,42.6824,43.1603,44.1602,45.7465,43.0132,41.7344,41.8334,41.2977
16.2,42.6891,42.9951,44.0884,45.9261,42.9452,41.6982,41.8204,41.2307
16.3,42.6206,42.9707,44.0044,45.9521,42.9944,41.6796,41.8062,41.2749
16.4,42.4822,42.9451,43.9268,45.7575,42.8605,41.6534,41.772,41.1883
16.5,42.4182,42.9331,43.8354,45.4161,42.9228,41.6089,41.5693,41.1016
16.6,42.3811,42.8009,43.8568,45.3989,43.0583,41.5587,41.5331,41.1017
16.7,42.3617,42.689,43.8883,45.3236,42.8871,41.5599,41.5344,41.031
16.8,42.3676,42.5051,44.0013,45.2119,43.0096,41.5268,41.5238,41.0177
16.9,42.2516,42.4959,43.8394,45.1776,42.9669,41.5147,41.5106,41.0061
17.0,42.1567,42.393,43.6386,45.3134,43.052,41.5099,41.4736,40.9916
17.1,41.9881,42.3709,43.6998,45.0937,43.006,41.5003,41.4284,40.9497
17.2,41.9752,42.1992,43.6436,44.827,43.0123,41.4944,41.4062,40.9366
17.3,41.8584,42.1594,43.6031,44.6149,43.0535,41.4599,41.3907,40.9659
17.4,41.8351,42.1659,43.6569,44.747,43.017,41.4186,41.3653,40.9447
17.5,41.708,42.0891,43.6993,44.4949,43.0785,41.3969,41.3645,40.9281
17.6,41.6734,42.028,43.6543,44.5363,43.0022,41.3944,41.3167,40.9567
17.7,41.6385,42.0208,43.6921,44.5225,43.0756,41.3848,41.2569,40.9758
17.8,41.6235,42.0132,43.5709,44.4551,43.0423,41.3923,41.2631,40.9493
17.9,41.6098,42.0109,43.5617,44.4367,43.0789,41.3704,41.2264,40.8737
18.0,41.5482,41.9957,43.5135,44.4311,43.1528,41.3239,41.1632,40.869
18.1,41.5172,41.9723,43.5865,44.6257,43.2347,41.3168,41.1576,40.8135
18.2,41.5074,41.9261,43.5612,44.5498,43.2003,41.1635,41.0418,40.8162
18.3,41.4848,41.9103,43.5622,44.5771,43.1283,41.1443,41.0207,40.7766
18.4,41.442,41.8817,43.4421,44.58,43.2107,41.146,40.9834,40.7552
18.5,41.4004,41.8756,43.4568,44.4869,43.2344,41.0802,40.967,40.7162
18.6,41.3682,41.8468,43.5313,44.4574,43.1509,41.0493,40.9475,40.7485
18.7,41.3552,41.7401,43.6255,44.3695,43.1418,41.0514,40.9451,40.6811
18.8,41.2993,41.725,43.5675,44.4987,43.1683,41.0449,40.9379,40.6941
18.9,41.2218,41.7102,43.5219,44.294,43.2732,41.029,40.8806,40.6854
19.0,41.1806,41.7043,43.5735,44.3983,43.132,40.9972,40.8283,40.7267
19.1,41.1536,41.6933,43.6208,44.3837,43.152,40.9886,40.8332,40.7576
19.2,41.1155,41.6884,43.6927,44.4297,43.1941,40.9773,40.8428,40.7005
19.3,41.1135,41.6608,43.7666,43.9102,43.2602,40.9528,40.7893,40.6692
19.4,41.1061,41.6421,43.7052,43.9487,43.2404,40.8191,40.7963,40.6751
19.5,41.0859,41.4347,43.7139,44.1022,43.2547,40.7752,40.7803,40.6822
19.6,41.0517,41.4181,43.7737,43.9815,43.3278,40.7758,40.7783,40.6969
19.7,41.0308,41.3839,43.8016,43.9568,43.2476,40.7646,40.7656,40.7325
19.8,41.0374,41.381,43.7667,44.0889,43.2878,40.6324,40.7271,40.7666
19.9,40.9522,41.3694,43.7608,44.1682,43.3732,40.6027,40.7251,40.7741
20.0,40.9358,41.3159,43.7642,44.2376,43.1164,40.569,40.6978,40.7923
20.1,40.921,41.2945,43.7167,44.1663,43.163,40.5814,40.6924,40.8049
20.2,40.9278,41.2572,43.7982,44.0081,43.2118,40.5486,40.6864,40.8031
20.3,40.7612,41.2174,43.8236,43.8553,43.2333,40.5272,40.6579,40.7618
20.4,40.7688,41.1995,43.8475,43.7392,43.2242,40.501,40.6488,40.7425
20.5,40.7312,41.2016,43.7831,43.3838,43.1907,40.4766,40.657,40.7182
20.6,40.6138,41.0644,43.7691,43.3852,43.1793,40.4786,40.6652,40.7239
20.7,40.5172,41.0147,43.8626,43.4603,43.2405,40.458,40.6588,40.7207
20.8,40.5041,40.9964,43.7863,43.5186,43.337,40.4388,40.5806,40.6987
20.9,40.4975,40.9332,43.7656,42.9808,43.1882,40.4145,40.5784,40.655
21.0,40.3144,40.8768,43.8351,43.0892,43.2447,40.4185,40.5322,40.5709
21.1,40.2774,40.856,43.8916,42.9221,43.2933,40.4173,40.514,40.5535
21.2,40.2154,40.8496,43.8222,42.9446,43.3314,40.4072,40.5123,40.5524
21.3,40.2253,40.8505,43.794,42.9049,43.4566,40.4008,40.5007,40.5483
21.4,40.2174,40.7221,43.8202,42.9819,43.4724,40.3909,40.4913,40.5616
21.5,40.1751,40.6911,43.8722,42.8741,43.374,40.3492,40.4885,40.5149
21.6,40.1924,40.659,43.8151,42.8943,43.053,40.3551,40.435,40.5124
21.7,40.1881,40.6338,43.7534,42.9562,43.0227,40.3166,40.4499,40.4851
21.8,40.1449,40.5794,43.7026,42.6038,43.0617,40.3076,40.3535,40.4999
21.9,40.1368,40.5786,43.6056,42.5838,43.1402,40.2963,40.3564,40.3728
22.0,40.1187,40.5255,43.6428,42.5632,43.2047,40.2602,40.3661,40.3873
22.1,40.1004,40.5206,43.6568,42.4683,43.2234,40.2426,40.3649,40.4031
22.2,40.0851,40.5047,43.6477,42.1413,43.2306,40.2168,40.3355,40.3206
22.3,40.0417,40.4627,43.6333,41.6017,43.2061,40.2215,40.3008,40.3322
22.4,39.8906,40.4629,43.6847,41.5196,43.1326,40.186,40.2962,40.2733
22.5,39.8564,40.438,43.645,41.4563,43.2082,40.1855,40.2837,40.068
22.6,39.8233,40.4385,43.6721,41.1556,43.2681,40.1875,40.2758,40.0864
22.7,39.8163,40.3483,43.7652,40.9782,43.2283,40.1565,40.2559,40.0241
22.8,39.7401,40.3486,43.639,41.0058,43.2416,40.1506,40.2565,39.8825
22.9,39.6895,40.3176,43.6347,41.0312,43.1694,40.1724,40.2426,39.8699
