Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0729925,0,0.0,0,0,0,0,0,0.0
0.0746995,1,1.0,1,1,1,1,1,1.0
0.0746995,0,0.0,0,0,0,0,0,0.0
0.0756197,1,1.0,1,1,1,1,1,1.0
0.0756197,0,0.0,0,0,0,0,0,0.0
0.0756683,1,1.0,1,1,1,1,1,1.0
0.0756683,0,0.0,0,0,0,0,0,0.0
0.0761281,1,1.0,1,1,1,1,1,1.0
0.0761281,0,0.0,0,0,0,0,0,0.0
0.076623,1,1.0,1,1,1,1,1,1.0
0.076623,0,0.0,0,0,0,0,0,0.0
0.0769045,1,1.0,1,1,1,1,1,1.0
0.0769045,0,0.0,0,0,0,0,0,0.0
0.0776031,1,1.0,1,1,1,1,1,1.0
0.0776031,0,0.0,0,0,0,0,0,0.0
0.0776243,1,1.0,1,1,1,1,1,1.0
0.0776243,0,0.0,0,0,0,0,0,0.0
0.0777175,1,1.0,1,1,1,1,1,1.0
0.0777175,0,0.0,0,0,0,0,0,0.0
0.078064,1,1.0,1,1,1,1,1,1.0
0.078064,0,0.0,0,0,0,0,0,0.0
0.0781533,1,1.0,1,1,1,1,1,1.0
0.0781533,0,0.0,0,0,0,0,0,0.0
0.0786253,1,1.0,1,1,1,1,1,1.0
0.0786253,0,0.0,0,0,0,0,0,0.0
0.0796266,1,1.0,1,1,1,1,1,1.0
0.0796266,0,0.0,0,0,0,0,0,0.0
0.0796266,1,1.0,1,1,1,1,1,1.0
0.0796266,0,0.0,0,0,0,0,0,0.0
0.0808782,1,1.0,1,1,1,1,1,1.0
0.0808782,0,0.0,0,0,0,0,0,0.0
0.0816298,1,1.0,1,1,1,1,1,1.0
0.0816298,0,0.0,0,0,0,0,0,0.0
0.0829867,1,1.0,1,1,1,1,1,1.0
0.0829867,0,0.0,0,0,0,0,0,0.0
0.0836694,1,1.0,1,1,1,1,1,1.0
0.0836694,0,0.0,0,0,0,0,0,0.0
0.0843977,1,1.0,1,1,1,1,1,1.0
0.0843977,0,0.0,0,0,0,0,0,0.0
0.0846767,1,1.0,1,1,1,1,1,1.0
0.0846767,0,0.0,0,0,0,0,0,0.0
0.0856914,1,1.0,1,1,1,1,1,1.0
0.0856914,0,0.0,0,0,0,0,0,0.0
0.0861855,1,1.0,1,1,1,1,1,1.0
0.0861855,0,0.0,0,0,0,0,0,0.0
0.0865428,1,1.0,1,1,1,1,1,1.0
0.0865428,0,0.0,0,0,0,0,0,0.0
0.0866927,1,1.0,1,1,1,1,1,1.0
0.0866927,0,0.0,0,0,0,0,0,0.0
0.0880725,1,1.0,1,1,1,1,1,1.0
0.0880725,0,0.0,0,0,0,0,0,0.0
0.0881331,1,1.0,1,1,1,1,1,1.0
0.0881331,0,0.0,0,0,0,0,0,0.0
0.0884573,1,1.0,1,1,1,1,1,1.0
0.0884573,0,0.0,0,0,0,0,0,0.0
0.0885362,1,1.0,1,1,1,1,1,1.0
0.0885362,0,0.0,0,0,0,0,0,0.0
0.0886957,1,1.0,1,1,1,1,1,1.0
0.0886957,0,0.0,0,0,0,0,0,0.0
0.089697,1,1.0,1,1,1,1,1,1.0
0.089697,0,0.0,0,0,0,0,0,0.0
0.089697,1,1.0,1,1,1,1,1,1.0
0.089697,0,0.0,0,0,0,0,0,0.0
0.0900101,1,1.0,1,1,1,1,1,1.0
0.0900101,0,0.0,0,0,0,0,0,0.0
0.0906951,1,1.0,1,1,1,1,1,1.0
