Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
11.5,9.80736,9.92385,9.86515,9.54883,9.98598,9.60935,9.60844,9.67559
11.6,9.88177,9.99716,10.0662,9.61349,10.0715,9.74288,9.68444,9.86366
11.7,9.99431,10.1204,10.1815,9.65752,10.318,9.79586,9.75027,9.92638
11.8,10.1284,10.2123,10.2495,9.69562,10.5562,9.87657,9.80807,10.0098
11.9,10.2958,10.2717,10.3068,9.74614,10.7733,9.94322,9.92407,10.0545
12.0,10.3829,10.3789,10.4244,9.77649,10.8641,9.99976,10.0575,10.1455
12.1,10.4572,10.4491,10.6737,9.81476,10.9531,10.1063,10.123,10.2404
12.2,10.5092,10.5738,10.7703,9.84198,11.0845,10.1494,10.1683,10.4313
12.3,10.635,10.6421,10.854,9.89211,11.2602,10.2197,10.2428,10.5249
12.4,10.7046,10.7015,10.9082,9.91867,11.3678,10.3463,10.2974,10.6106
12.5,10.7744,10.8138,10.9538,9.9535,11.5199,10.551,10.3456,10.769
12.6,10.8825,10.9099,11.0382,9.99696,11.6422,10.6564,10.4095,10.842
12.7,10.9474,10.9779,11.2242,10.0363,11.8097,10.7937,10.5573,10.8961
12.8,11.0009,11.0646,11.3481,10.0708,11.9576,10.8484,10.6701,11.023
12.9,11.0814,11.1646,11.4338,10.1146,12.0502,10.9559,10.7177,11.1483
13.0,11.1485,11.2118,11.5683,10.1696,12.1137,11.0849,10.8078,11.3498
13.1,11.2586,11.2806,11.76,10.2166,12.2182,11.1513,10.9477,11.393
13.2,11.3943,11.3477,11.9039,10.3222,12.2634,11.2157,11.0663,11.5271
13.3,11.4576,11.4109,12.0826,10.3941,12.3388,11.3086,11.1206,11.6511
13.4,11.529,11.499,12.1993,10.4335,12.4237,11.391,11.3055,11.7839
13.5,11.558,11.5859,12.4499,10.5338,12.4834,11.4432,11.5556,11.8473
13.6,11.6823,11.6729,12.5573,10.584,12.5607,11.532,11.6372,12.0194
13.7,11.77,11.7456,12.6782,10.6035,12.6275,11.6655,11.6978,12.1474
13.8,11.8135,11.8134,12.8122,10.6447,12.7199,11.7289,11.8662,12.3754
13.9,11.955,11.9132,12.9093,10.7334,12.784,11.8036,12.0645,12.4679
14.0,12.0427,12.0171,13.0096,10.7685,12.8676,12.0154,12.1817,12.5759
14.1,12.1589,12.0354,13.0862,10.8114,13.0185,12.1227,12.2503,12.6312
14.2,12.203,12.111,13.1431,10.8523,13.1837,12.2694,12.3106,12.7348
