Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr,dAQM4_plr,dAQM5_plr,dAQM6_plr,dAQM7_plr,dAQM8_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
7.3,0,0.166067,0.0803722,0.0788245,0.103985,0.0278585,0.0734183,0.0923901,0.0792458,0.0902048,0.0923821,0.0991938,0.107655,0.0033041,0.0532468,0.119672
7.4,0,0.175445,0.0852567,0.0843517,0.107877,0.0278585,0.081835,0.0986606,0.0821304,0.0941835,0.101477,0.0973626,0.114338,0.0036296,0.0596994,0.12373
7.5,0,0.181594,0.0909332,0.0907871,0.112634,0.0278585,0.0883787,0.102818,0.0843407,0.0943612,0.110001,0.0981498,0.120622,0.00358104,0.0642668,0.126899
7.6,0,0.188626,0.0966466,0.098907,0.117578,0.0278585,0.0946239,0.113963,0.0913541,0.0967395,0.110072,0.102089,0.123707,0.0036898,0.0670821,0.138922
7.7,0,0.194144,0.102097,0.105688,0.125199,0.0278585,0.0983993,0.121811,0.0975239,0.105933,0.109303,0.110623,0.123291,0.00367128,0.0725388,0.152575
7.8,0,0.198607,0.109352,0.112285,0.132392,0.0278585,0.107289,0.122506,0.10318,0.116351,0.109513,0.115701,0.123916,0.00366156,0.0785348,0.16194
7.9,0,0.204936,0.1159,0.118538,0.140075,0.0278585,0.11897,0.126782,0.113468,0.121061,0.116251,0.114818,0.127106,0.00365755,0.0848221,0.170356
8.0,0,0.213188,0.12066,0.125611,0.147083,0.0278585,0.122543,0.12927,0.126198,0.119578,0.123466,0.118767,0.132776,0.00365236,0.0913078,0.170029
8.1,0,0.20808,0.1116,0.115406,0.132729,0.0247631,0.107502,0.118357,0.115922,0.105185,0.11093,0.108614,0.122301,0.00365107,0.0844935,0.148812
8.2,0,0.204137,0.116851,0.119253,0.13538,0.0247631,0.105976,0.123322,0.115425,0.10679,0.109915,0.113455,0.124347,0.00364978,0.0878394,0.146805
8.3,0,0.212518,0.119856,0.124684,0.137029,0.0247631,0.109668,0.125179,0.120921,0.111615,0.110689,0.119733,0.125946,0.00343509,0.0918398,0.145695
8.4,0,0.221143,0.123059,0.129609,0.141859,0.0246675,0.117378,0.126966,0.132524,0.114955,0.114045,0.120015,0.129397,0.00343509,0.0960905,0.148199
8.5,0,0.227705,0.126087,0.134337,0.145629,0.0246675,0.123115,0.128557,0.144575,0.120633,0.118741,0.118644,0.13166,0.00343509,0.0989322,0.151859
8.6,0,0.234607,0.129047,0.137545,0.151381,0.0246675,0.132155,0.129722,0.155299,0.127116,0.118997,0.127892,0.136031,0.00324425,0.10321,0.157657
8.7,0,0.243575,0.131752,0.142245,0.156244,0.0246675,0.138457,0.136739,0.158313,0.128397,0.117772,0.134541,0.143173,0.00324425,0.109071,0.167856
8.8,0,0.250536,0.135917,0.14533,0.161726,0.0246675,0.141848,0.144153,0.162393,0.135147,0.119533,0.141402,0.148103,0.00324302,0.114828,0.171317
8.9,0,0.258481,0.138689,0.147481,0.164687,0.0246675,0.146648,0.14465,0.167742,0.140326,0.129641,0.143979,0.151249,0.00324302,0.119556,0.175849
9.0,0,0.268015,0.140287,0.15056,0.167395,0.0246675,0.153998,0.143814,0.17264,0.140136,0.137368,0.142276,0.154327,0.00323096,0.12309,0.178904
9.1,0,0.263312,0.128552,0.145278,0.161544,0.0246675,0.147378,0.134791,0.16295,0.130223,0.121984,0.129407,0.14977,0.0030481,0.121454,0.177035
9.2,0,0.259364,0.131392,0.139301,0.156316,0.0233692,0.140391,0.140907,0.153158,0.134004,0.120955,0.13698,0.141911,0.00289363,0.123787,0.165738
9.3,0,0.263598,0.134539,0.142427,0.158651,0.0222008,0.147567,0.140023,0.161364,0.130862,0.120774,0.143492,0.145006,0.00289363,0.119655,0.155636
9.4,0,0.268762,0.137695,0.145436,0.162405,0.022158,0.154746,0.138602,0.167792,0.131759,0.127473,0.143943,0.149451,0.00289261,0.123209,0.153951
9.5,0,0.274907,0.141088,0.148271,0.166459,0.022158,0.155235,0.143643,0.165515,0.136547,0.132495,0.14159,0.155147,0.00342171,0.123946,0.152431
9.6,0,0.282131,0.145391,0.151691,0.169287,0.022158,0.152033,0.151359,0.162848,0.141388,0.133305,0.140841,0.160254,0.00339631,0.124017,0.159562
