Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
9.2,7.66971,7.80219,7.76722,7.66881,7.61937,7.67157,7.70731,7.70731
9.3,7.79857,7.93499,7.83701,7.76601,7.7875,7.73409,7.82225,7.82225
9.4,7.88426,8.00084,7.94416,7.887,7.86528,7.80805,7.8558,7.8558
9.5,7.95326,8.08479,8.10046,7.98033,7.94804,7.91414,7.95017,7.95017
9.6,8.0708,8.17293,8.17862,8.03143,8.06534,7.99698,8.00947,8.00947
9.7,8.1427,8.27981,8.22528,8.21088,8.14174,8.07745,8.09455,8.09455
9.8,8.34139,8.35531,8.29424,8.2868,8.20131,8.13021,8.19191,8.19191
9.9,8.39647,8.45966,8.38119,8.38326,8.31131,8.20389,8.36318,8.36318
10.0,8.45621,8.57574,8.46375,8.49746,8.37366,8.25832,8.48163,8.48163
10.1,8.53431,8.66389,8.57686,8.58488,8.46964,8.39895,8.5363,8.5363
10.2,8.58633,8.76556,8.63672,8.7043,8.55021,8.45318,8.57433,8.57433
10.3,8.6933,8.85349,8.712,8.77953,8.62731,8.55721,8.68001,8.6779
10.4,8.75866,8.95825,8.81902,8.89561,8.73208,8.61371,8.74948,8.80104
10.5,8.83884,9.03461,8.89487,8.99948,8.87243,8.69992,8.84052,8.93867
10.6,8.90594,9.09359,8.97279,9.10112,8.94229,8.77213,8.98971,9.01542
10.7,8.95764,9.21613,9.08503,9.17432,9.00249,8.90509,9.08793,9.15663
10.8,9.01072,9.26782,9.15299,9.28196,9.12772,8.95766,9.13812,9.26919
10.9,9.11526,9.32469,9.35188,9.36097,9.20047,9.01921,9.20963,9.36845
