Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
3.00027,1,1,1,1,1,1,1,1
3.00027,0,0,0,0,0,0,0,0
3.001,1,1,1,1,1,1,1,1
3.001,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
